Module,Offered,Group,Language,Activity,Day,Time,Venue,Campus,Study Prog
ENG118,S1,G02,E,L1,Monday,13:30 - 14:20,Roos hall,HATFIELD,
ENG118,S1,G02,E,L2,Wednesday,12:30 - 13:20,Roos hall,HATFIELD,
ENG120,S2,G01,E,L1,Monday,16:30 - 17:20,Thuto 3-1,HATFIELD,
ENG120,S2,G01,E,L2,Wednesday,11:30 - 12:20,Thuto 3-1,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,HB 3-14,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,HB 3-15,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,HB 3-23,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,HB 4-12,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,HB 4-13,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,HB 4-14,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,HB 4-3,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,HB 4-6,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,HB 4-8,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,HB 4-9,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,IT 2-24,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,North hall,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,South hall,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,Theology 1-19,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,Theology 1-9,HATFIELD,
ENG120,S2,G01,E,L3,Thursday,10:30 - 11:20,Theology 2-1,HATFIELD,
ENG120,S2,G02,E,L1,Tuesday,08:30 - 09:20,Roos hall,HATFIELD,
ENG120,S2,G02,E,L2,Wednesday,09:30 - 10:20,Roos hall,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 3-14,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 3-15,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 3-23,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 3-24,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 4-1,HATFIELD,
